Construction	Verb
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	tell
DITRANSITIVE	bring
DITRANSITIVE	bring
DITRANSITIVE	bring
DITRANSITIVE	bring
DITRANSITIVE	bring
DITRANSITIVE	bring
DITRANSITIVE	bring
DITRANSITIVE	play
DITRANSITIVE	take
DITRANSITIVE	take
DITRANSITIVE	take
DITRANSITIVE	take
